metric,metric_value,timestamp,company_name
1,7813,2024-02-15T00:00:00,Character
1,1200,2023-05-31T00:00:00,Character
1,923,2023-04-29T00:00:00,Character
1,1600,2023-06-15T00:00:00,Character
1,1165,2023-05-27T00:00:00,Character
1,862,2023-04-15T00:00:00,Character
1,8221,2024-03-14T00:00:00,Character
1,5800,2023-10-23T00:00:00,Character
1,5200,2023-10-04T00:00:00,Character
1,3795,2023-08-10T00:00:00,Character
1,7608,2024-02-01T00:00:00,Character
1,5000,2023-09-20T00:00:00,Character
1,8017,2024-02-29T00:00:00,Character
1,4343,2023-08-24T00:00:00,Character
1,751,2023-03-24T00:00:00,Character
1,1044,2023-05-13T00:00:00,Character
1,7404,2024-01-18T00:00:00,Character
1,8425,2024-03-28T00:00:00,Character
1,4500,2023-08-28T00:00:00,Character
1,3246,2023-07-27T00:00:00,Character
1,6072,2023-11-06T00:00:00,Character
1,6344,2023-11-20T00:00:00,Character
1,6617,2023-12-04T00:00:00,Character
1,2697,2023-07-13T00:00:00,Character
1,2149,2023-06-29T00:00:00,Character
1,740,2023-03-07T00:00:00,Character
1,8600,2024-04-09T00:00:00,Character
1,7161,2024-01-01T00:00:00,Character
1,6889,2023-12-18T00:00:00,Character
1,7200,2024-01-04T00:00:00,Character
3,9961,2024-01-01T00:00:00,Character
3,1600,2023-04-29T00:00:00,Character
3,9689,2023-12-18T00:00:00,Character
3,10875,2024-02-15T00:00:00,Character
3,7600,2023-09-20T00:00:00,Character
3,7800,2023-10-04T00:00:00,Character
3,10000,2024-01-04T00:00:00,Character
3,8872,2023-11-06T00:00:00,Character
3,1200,2023-03-07T00:00:00,Character
3,8600,2023-10-23T00:00:00,Character
3,1400,2023-04-15T00:00:00,Character
3,9417,2023-12-04T00:00:00,Character
3,9144,2023-11-20T00:00:00,Character
3,10583,2024-02-01T00:00:00,Character
3,10292,2024-01-18T00:00:00,Character
3,1200,2023-03-24T00:00:00,Character
3,11750,2024-03-28T00:00:00,Character
3,6003,2023-08-10T00:00:00,Character
3,5227,2023-07-27T00:00:00,Character
3,4451,2023-07-13T00:00:00,Character
3,12000,2024-04-09T00:00:00,Character
3,3676,2023-06-29T00:00:00,Character
3,7000,2023-08-28T00:00:00,Character
3,11167,2024-02-29T00:00:00,Character
3,2200,2023-05-31T00:00:00,Character
3,2900,2023-06-15T00:00:00,Character
3,1863,2023-05-13T00:00:00,Character
3,6778,2023-08-24T00:00:00,Character
3,2125,2023-05-27T00:00:00,Character
3,11458,2024-03-14T00:00:00,Character
4,3783,2023-04-13T00:00:00,Character
4,5816,2023-06-06T00:00:00,Character
4,8262,2023-07-15T00:00:00,Character
4,13961,2023-11-26T00:00:00,Character
4,8262,2023-07-14T00:00:00,Character
4,10024,2023-09-03T00:00:00,Character
4,5816,2023-06-07T00:00:00,Character
4,13745,2023-11-16T00:00:00,Character
4,14181,2023-12-06T00:00:00,Character
4,7384,2023-07-02T00:00:00,Character
4,5816,2023-06-08T00:00:00,Character
4,14347,2023-12-15T00:00:00,Character
4,3525,2023-04-06T00:00:00,Character
4,6579,2023-06-23T00:00:00,Character
4,14492,2023-12-24T00:00:00,Character
4,3525,2023-04-07T00:00:00,Character
