Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
THE UNIVERSITY OF SAN FRANCISCO,ASSISTANT PROFESSOR,135174,135174,135174,1
THE UNIVERSITY OF SAN FRANCISCO,ASST DIR OF OUTREACH & GROUP THERAPY STAFF PSYCHOLOGIST,95000,95000,95000,1
