Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
VECIMA TECHNOLOGY INC,DIRECTOR SOFTWARE ENGINEERING,175531,175531,175531,1
VECIMA TECHNOLOGY INC,PRINCIPAL CUSTOMER SUPPORT ENGINEER,133245,133245,133245,1
