Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
WUXI BIOLOGICS USA LLC,SENIOR MANAGER BUSINESS DEVELOPMENT,145000,145000,145000,2
WUXI BIOLOGICS USA LLC,QC TESTING SCIENTIST II,80000,80000,80000,1
