metric,company_name,timestamp,metric_value
1,Arcadia,2023-09-18T00:00:00,71000
1,Arcadia,2023-10-04T00:00:00,71000
1,Arcadia,2023-10-18T00:00:00,70808
1,Arcadia,2023-11-01T00:00:00,70616
1,Arcadia,2023-11-15T00:00:00,70425
1,Arcadia,2023-11-29T00:00:00,70233
1,Arcadia,2023-12-13T00:00:00,70041
1,Arcadia,2023-12-17T00:00:00,70000
1,Arcadia,2023-12-31T00:00:00,70000
1,Arcadia,2024-01-14T00:00:00,70000
1,Arcadia,2024-01-28T00:00:00,70000
1,Arcadia,2024-02-09T00:00:00,70000
1,Arcadia,2024-02-23T00:00:00,70000
1,Arcadia,2024-03-08T00:00:00,70000
1,Arcadia,2024-03-15T00:00:00,70000
1,Arcadia,2024-03-18T00:00:00,70000
1,Arcadia,2024-04-05T00:00:00,70000
3,Arcadia,2023-09-18T00:00:00,71000
3,Arcadia,2023-10-04T00:00:00,71000
3,Arcadia,2023-10-18T00:00:00,71000
3,Arcadia,2023-11-01T00:00:00,71000
3,Arcadia,2023-11-15T00:00:00,71000
3,Arcadia,2023-11-29T00:00:00,71000
3,Arcadia,2023-12-13T00:00:00,71000
3,Arcadia,2023-12-17T00:00:00,71000
3,Arcadia,2023-12-31T00:00:00,71000
3,Arcadia,2024-01-14T00:00:00,71000
3,Arcadia,2024-01-28T00:00:00,71000
3,Arcadia,2024-02-09T00:00:00,71000
3,Arcadia,2024-02-23T00:00:00,71000
3,Arcadia,2024-03-08T00:00:00,71000
3,Arcadia,2024-03-15T00:00:00,71000
3,Arcadia,2024-03-18T00:00:00,71000
3,Arcadia,2024-04-05T00:00:00,71000
4,Arcadia,2022-12-07T00:00:00,18116
4,Arcadia,2022-12-24T00:00:00,18708
4,Arcadia,2023-01-05T00:00:00,18965
4,Arcadia,2023-01-18T00:00:00,19544
4,Arcadia,2023-01-27T00:00:00,19916
4,Arcadia,2023-01-28T00:00:00,19916
4,Arcadia,2023-02-04T00:00:00,20175
4,Arcadia,2023-02-12T00:00:00,20432
4,Arcadia,2023-02-20T00:00:00,20713
4,Arcadia,2023-02-28T00:00:00,21026
4,Arcadia,2023-03-10T00:00:00,21431
4,Arcadia,2023-03-23T00:00:00,21901
4,Arcadia,2023-03-31T00:00:00,22125
4,Arcadia,2023-04-17T00:00:00,22541
4,Arcadia,2023-04-19T00:00:00,22541
4,Arcadia,2023-04-20T00:00:00,22541
4,Arcadia,2023-05-07T00:00:00,23133
4,Arcadia,2023-05-08T00:00:00,23133
4,Arcadia,2023-05-11T00:00:00,23133
4,Arcadia,2023-05-16T00:00:00,23355
4,Arcadia,2023-05-17T00:00:00,23355
4,Arcadia,2023-05-21T00:00:00,23355
4,Arcadia,2023-05-22T00:00:00,23355
4,Arcadia,2023-05-23T00:00:00,23491
4,Arcadia,2023-06-03T00:00:00,23704
4,Arcadia,2023-06-04T00:00:00,23704
4,Arcadia,2023-06-19T00:00:00,24095
4,Arcadia,2023-06-20T00:00:00,24095
4,Arcadia,2023-06-21T00:00:00,24095
4,Arcadia,2023-07-02T00:00:00,24415
4,Arcadia,2023-07-03T00:00:00,24415
4,Arcadia,2023-07-14T00:00:00,24792
4,Arcadia,2023-07-15T00:00:00,24792
4,Arcadia,2023-07-25T00:00:00,25007
4,Arcadia,2023-07-26T00:00:00,25007
4,Arcadia,2023-08-06T00:00:00,25419
4,Arcadia,2023-08-17T00:00:00,25784
4,Arcadia,2023-08-18T00:00:00,25784
4,Arcadia,2023-08-31T00:00:00,26221
4,Arcadia,2023-09-17T00:00:00,26677
4,Arcadia,2023-09-18T00:00:00,26677
4,Arcadia,2023-10-04T00:00:00,27172
4,Arcadia,2023-10-23T00:00:00,27611
4,Arcadia,2023-11-02T00:00:00,27846
