metric_id,metric_value,timestamp
1,3017,2022-03-11T17:45:01
1,3017,2022-03-11T17:45:01.578629
1,3017,2022-03-25T07:58:05
1,3017,2022-03-25T07:58:05.853384
1,3017,2022-04-26T18:52:38
1,3017,2022-04-26T18:52:38.787774
1,3017,2022-04-27T09:31:51
1,3017,2022-04-27T09:31:51.371908
1,3017,2022-05-06T12:42:47
1,3017,2022-05-06T12:42:47.216484
1,3017,2022-05-21T06:40:55
1,3017,2022-05-21T06:40:55.333516
1,3017,2022-06-15T07:33:31
1,3017,2022-06-15T07:33:31.359121
1,3017,2022-06-29T06:29:56
1,3017,2022-06-29T06:29:56.486796
1,3017,2022-07-13T08:38:33
1,3017,2022-07-13T08:38:33.099071
1,3788,2022-08-26T06:52:48
1,3788,2022-08-26T06:52:48.644517
1,3857,2022-09-17T12:38:24
1,3857,2022-09-17T12:38:24.936952
1,3889,2022-10-01T10:13:45
1,3889,2022-10-01T10:13:45.311471
1,3900,2022-10-14T07:06:10
1,3900,2022-10-14T07:06:10.868855
1,3900,2022-10-24T21:30:58
1,3900,2022-10-24T21:30:58.616767
1,3900,2022-11-07T05:39:53
1,3900,2022-11-07T05:39:53.418246
1,3900,2022-11-21T06:20:56
1,3900,2022-11-21T06:20:56.721452
1,3900,2022-12-05T06:47:08
1,3900,2022-12-05T06:47:08.803065
1,3900,2022-12-19T07:31:03
1,3900,2022-12-19T07:31:03.526250
1,3900,2023-01-06T07:42:22
1,3900,2023-01-06T07:42:22.527334
1,3900,2023-01-20T06:50:24
1,3900,2023-01-20T06:50:24.574975
1,3900,2023-02-03T08:57:01
1,3900,2023-02-03T08:57:01.066600
1,3900,2023-02-17T05:36:41
1,3900,2023-02-17T05:36:41.639021
1,4000,2023-03-03T06:02:02
1,4000,2023-03-03T06:02:02.190944
1,4000,2023-03-17T09:05:45
1,4000,2023-03-17T09:05:45.728297
1,4000,2023-04-07T08:37:06
1,4000,2023-04-07T08:37:06.895880
1,4000,2023-04-17T15:54:43
1,4000,2023-04-17T15:54:43.498188
1,4000,2023-05-02T06:36:38
1,4000,2023-05-02T06:36:38.841976
1,4000,2023-05-23T09:34:41
1,4000,2023-05-23T09:34:41.909982
1,4000,2023-06-06T05:57:47
1,4000,2023-06-06T05:57:47.154668
1,4000,2023-06-22T06:05:05
1,4000,2023-06-22T06:05:05.397155
1,4000,2023-07-07T06:31:23
1,4000,2023-07-07T06:31:23.889330
1,4000,2023-07-21T08:49:06
1,4000,2023-07-21T08:49:06.496641
1,4000,2023-08-04T07:28:09
